Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
MGF,MFS Government Markets Income Trust,4.68,$152.57M,1987,n/a,n/a,https://old.nasdaq.com/symbol/mgf
MIN,MFS Intermediate Income Trust,3.73,$436.05M,1988,n/a,n/a,https://old.nasdaq.com/symbol/min
MMT,MFS Multimarket Income Trust,5.49,$351.26M,1987,n/a,n/a,https://old.nasdaq.com/symbol/mmt
MFM,MFS Municipal Income Trust,5.94,$244.65M,1986,n/a,n/a,https://old.nasdaq.com/symbol/mfm
MFV,MFS Special Value Trust,4.9399,$35.54M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mfv
MTG,MGIC Investment Corporation,7.11,$2.41B,1991,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mtg
MGP,MGM Growth Properties LLC,24.19,$8.07B,2016,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mgp
MGM,MGM Resorts International,15.31,$7.55B,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/mgm
MFGP,Micro Focus Intl PLC,5.3,$1.77B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mfgp
MAA,"Mid-America Apartment Communities, Inc.",114.36,$13.08B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/maa
MAA^I,"Mid-America Apartment Communities, Inc.",60.7555,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/maa^i
AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",1.1,$41.32M,2016,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ampy
MLR,"Miller Industries, Inc.",29.15,$332.47M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/mlr
HIE,Miller/Howard High Income Equity Fund,5.73,$107.1M,2014,n/a,n/a,https://old.nasdaq.com/symbol/hie
MTX,Minerals Technologies Inc.,45.13,$1.54B,1992,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/mtx
MG,Mistras Group Inc,3.82,$110.91M,2009,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/mg
MUFG,Mitsubishi UFJ Financial Group Inc,3.9,$50.08B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/mufg
MIXT,MiX Telematics Limited,8.01,$176.22M,2013,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mixt
MFG,"Mizuho Financial Group, Inc.",2.3,$29.16B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mfg
MBT,Mobile TeleSystems OJSC,8.9,$7.89B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/mbt
MODN,"Model N, Inc.",32.04,$1.1B,2013,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/modn
MOD,Modine Manufacturing Company,3.69,$187.48M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/mod
MC,Moelis & Company,29.89,$1.65B,2014,Finance,Investment Managers,https://old.nasdaq.com/symbol/mc
MOGU,MOGU Inc.,1.14,$121.96M,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/mogu
MHK,"Mohawk Industries, Inc.",85.97,$6.12B,n/a,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/mhk
MOH,Molina Healthcare Inc,173.75,$10.29B,2003,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/moh
TAP,Molson Coors Beverage Company,38.55,$8.35B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/tap
TAP.A,Molson Coors Beverage Company,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/tap.a
MNR,Monmouth Real Estate Investment Corporation,12.24,$1.2B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mnr
MNR^C,Monmouth Real Estate Investment Corporation,24.52,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mnr^c
MR,Montage Resources Corporation,5.19,$185.88M,2014,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mr
MCO,Moody&#39;s Corporation,259.81,$48.71B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/mco
MOG.A,Moog Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mog.a
MOG.B,Moog Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mog.b
MS,Morgan Stanley,40.28,$63.47B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ms
MS^A,Morgan Stanley,20.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ms^a
MS^E,Morgan Stanley,26.78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ms^e
MS^F,Morgan Stanley,26.43,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ms^f
MS^I,Morgan Stanley,26.12,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ms^i
MS^K,Morgan Stanley,25.07,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ms^k
MS^L,Morgan Stanley,24.18,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ms^l
CAF,Morgan Stanley China A Share Fund Inc.,18.72,$409.62M,2006,n/a,n/a,https://old.nasdaq.com/symbol/caf
MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc.",8.09,$164.93M,1993,n/a,n/a,https://old.nasdaq.com/symbol/msd
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",5.32,$351.61M,2007,n/a,n/a,https://old.nasdaq.com/symbol/edd
IIF,"Morgan Stanley India Investment Fund, Inc.",13.72,$182.85M,1994,n/a,n/a,https://old.nasdaq.com/symbol/iif
MOS,Mosaic Company (The),10.96,$4.15B,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/mos
MSI,"Motorola Solutions, Inc.",135.52,$23.05B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/msi
MOV,Movado Group Inc.,10.52,$243.31M,n/a,Consumer Non-Durables,Consumer Specialties,https://old.nasdaq.com/symbol/mov
MPLX,MPLX LP,19.14,$20.26B,2012,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/mplx
MRC,MRC Global Inc.,5.19,$425.56M,2012,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mrc
HJV,MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14,0.48,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/hjv
MSA,MSA Safety Incorporporated,121.36,$4.71B,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/msa
MSM,"MSC Industrial Direct Company, Inc.",65.71,$3.65B,1995,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/msm
MSCI,MSCI Inc,346.75,$28.99B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/msci
MSGN,MSG Networks Inc.,12.64,$716.82M,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/msgn
MLI,"Mueller Industries, Inc.",25.14,$1.43B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/mli
MWA,Mueller Water Products Inc,8.75,$1.38B,2006,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/mwa
MVF,"MuniVest Fund, Inc.",7.92,$513.5M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mvf
MZA,"MuniYield Arizona Fund, Inc.",13.5,$62.59M,1993,n/a,n/a,https://old.nasdaq.com/symbol/mza
MUR,Murphy Oil Corporation,12.33,$1.89B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mur
MUSA,Murphy USA Inc.,115.98,$3.38B,2013,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/musa
MVO,MV Oil Trust,3.53,$40.6M,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mvo
MVC,"MVC Capital, Inc.",6.62,$117.34M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mvc
MVCD,"MVC Capital, Inc.",23.55,n/a,2017,n/a,n/a,https://old.nasdaq.com/symbol/mvcd
MYE,"Myers Industries, Inc.",12.89,$461.05M,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/mye
MYOV,Myovant Sciences Ltd.,12.26,$1.1B,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myov
NBR,Nabors Industries Ltd.,20.66,$150.81M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/nbr
NBR^A,Nabors Industries Ltd.,3.75,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nbr^a
NC,"NACCO Industries, Inc.",28.13,$197.51M,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/nc
NTP,Nam Tai Property Inc.,4,$155.74M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/ntp
NTEST,NASDAQ TEST STOCK,25.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ntest
NTEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ntest.a
NTEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ntest.b
NTEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ntest.c
NBHC,National Bank Holdings Corporation,25.17,$769.26M,2012,Finance,Major Banks,https://old.nasdaq.com/symbol/nbhc
NFG,National Fuel Gas Company,41.57,$3.6B,n/a,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/nfg
NGG,"National Grid Transco, PLC",57.25,$40.19B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/ngg
NHI,"National Health Investors, Inc.",54.9,$2.45B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nhi
NOV,"National Oilwell Varco, Inc.",12.78,$4.96B,n/a,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/nov
NPK,"National Presto Industries, Inc.",82.7,$581.88M,n/a,Capital Goods,Ordnance And Accessories,https://old.nasdaq.com/symbol/npk
NNN,National Retail Properties,30.8,$5.3B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nnn
NNN^F,National Retail Properties,23.17,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nnn^f
NRUC,National Rural Utilities Cooperative Finance Corporation,26.46,n/a,2019,Finance,Diversified Financial Services,https://old.nasdaq.com/symbol/nruc
SID,National Steel Company,1.42,$1.96B,n/a,Capital Goods,Steel/Iron Ore,https://old.nasdaq.com/symbol/sid
NSA,National Storage Affiliates Trust,25.88,$1.76B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nsa
NSA^A,National Storage Affiliates Trust,25.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nsa^a
NTCO,Natura &Co Holding S.A.,11.62,$6.91B,2020,n/a,n/a,https://old.nasdaq.com/symbol/ntco
NGS,"Natural Gas Services Group, Inc.",6.23,$84.1M,2002,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ngs
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",14.42,$324.61M,2012,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/ngvc
NRP,Natural Resource Partners LP,13.65,$167.37M,2002,Energy,Coal Mining,https://old.nasdaq.com/symbol/nrp
NTZ,"Natuzzi, S.p.A.",0.6901,$7.57M,1993,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/ntz
NLS,"Nautilus Group, Inc. (The)",5.85,$174.43M,n/a,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/nls
NVGS,Navigator Holdings Ltd.,5.52,$308.16M,2013,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/nvgs
NNA,Navios Maritime Acquisition Corporation,4.88,$77.77M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/nna
NM,Navios Maritime Holdings Inc.,2.09,$28.15M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/nm
NM^G,Navios Maritime Holdings Inc.,3.61,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nm^g
NM^H,Navios Maritime Holdings Inc.,3.75,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nm^h
NMM,Navios Maritime Partners LP,6.5,$71.42M,2007,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/nmm
NAV,Navistar International Corporation,25.06,$2.49B,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/nav
NAV^D,Navistar International Corporation,22,n/a,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/nav^d
NCR,NCR Corporation,18.46,$2.36B,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/ncr
NP,"Neenah, Inc.",49.13,$824.96M,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/np
NNI,"Nelnet, Inc.",47.52,$1.86B,2003,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/nni
NPTN,NeoPhotonics Corporation,7.42,$361.77M,2011,Technology,Semiconductors,https://old.nasdaq.com/symbol/nptn
NSCO,"Nesco Holdings, Inc.",2.43,$119.15M,2017,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/nsco
